Declaration,Date reception,Frais engages,Adherent CIN,Adherent ville,Police,Code maladie
7572756.0,2023-07-22,9957.0,BE70UH,Casablanca,065487956,004
7560247.0,2023-10-27,9768.0,BE41UP,Casablanca,065487956,008
7575336.0,2023-08-13,8158.0,BE06BC,Casablanca,065487956,006
7575606.0,2023-07-14,8743.0,BE19DD,Casablanca,065487956,013
7557877.0,2023-01-07,7645.0,BE19GS,Marrakech,065487956,012
7570133.0,2023-06-27,3292.0,BE94VZ,Casablanca,2000GPT4118,005
7561549.0,2023-12-02,7424.0,BE15OC,Casablanca,065487956,011
7571243.0,2023-11-18,7689.0,BE84PD,Casablanca,065487956,015
7554351.0,2023-11-14,9072.0,BE61WJ,Casablanca,065487956,005
7570943.0,2023-10-16,9423.0,BE23MT,Marrakech,065487956,002
7560364.0,2023-10-30,9549.0,BE54BH,Rabat,065487956,012
7555166.0,2023-05-26,3980.0,BE21DK,Casablanca,2000GPT4118,001
7576098.0,2023-06-17,9679.0,BE54DP,Rabat,065487956,014
7555560.0,2023-06-05,4922.0,BE18IQ,Agadir,2000GPT4118,008
7558476.0,2023-11-29,8961.0,BE01ND,Agadir,065487956,004
7562439.0,2023-05-21,4684.0,BE38RM,Fes,2000GPT4118,007
7567596.0,2023-09-16,9983.0,BE74CM,Casablanca,065487956,008
7569120.0,2023-12-21,8193.0,BE99AG,Tanger,065487956,001
7555283.0,2023-10-24,1496.0,BE32FC,Casablanca,2000GPT4587,003
7554277.0,2023-11-04,7766.0,BE15UJ,Marrakech,065487956,012
7567280.0,2023-09-18,8701.0,BE09TF,Fes,065487956,012
7576329.0,2023-05-26,7503.0,BE54NZ,Marrakech,065487956,004
7563264.0,2023-07-25,5067.0,BE94PS,Casablanca,2000GPT4118,014
7558521.0,2023-11-17,9428.0,BE53CL,Casablanca,065487956,010
7567835.0,2023-05-17,5965.0,BE31YN,Casablanca,2000GPT9898,010
7577644.0,2023-01-12,7571.0,BE02QY,Casablanca,065487956,014
7558707.0,2023-05-15,1266.0,BE56MS,Casablanca,2000GPT4587,009
7563263.0,2023-01-14,5294.0,BE47NH,Casablanca,2000GPT9898,012
7552445.0,2023-06-15,1101.0,BE85CW,Casablanca,2000GPT4587,009
7555429.0,2023-01-07,4031.0,BE61ML,Rabat,2000GPT4118,012
7556994.0,2023-12-18,6718.0,BE61NT,Casablanca,2000GPT9898,008
7559226.0,2023-10-12,7148.0,BE42QP,Fes,065487956,012
7573109.0,2023-12-03,2154.0,BE16QT,Casablanca,2000GPT2564,006
7577454.0,2023-04-09,9892.0,BE23BG,Casablanca,065487956,009
7554998.0,2023-05-06,1470.0,BE29EK,Rabat,2000GPT4587,004
7554414.0,2023-07-20,4796.0,BE66EZ,Casablanca,2000GPT4118,012
7557419.0,2023-04-15,7962.0,BE68DE,Casablanca,065487956,009
7564387.0,2023-10-24,7948.0,BE49UF,Marrakech,065487956,004
7556587.0,2023-10-08,4605.0,BE60CX,Fes,2000GPT4118,003
7565042.0,2023-07-15,4052.0,BE16FV,Agadir,2000GPT4118,008
7574859.0,2023-09-11,3928.0,BE03CZ,Rabat,2000GPT4118,005
7572656.0,2023-12-28,7250.0,BE16RE,Rabat,065487956,003
